phoneme_1,phoneme_2,word_1,word_1_ipa,word_1_meaning,word_2,word_2_ipa,word_2_meaning,difficulty,difference_note_vi
iː,ɪ,sheep,ʃiːp,con cừu,ship,ʃɪp,tàu thủy,1,/iː/ dài vs /ɪ/ ngắn - Lỗi phổ biến nhất của người Việt
iː,ɪ,seat,siːt,chỗ ngồi,sit,sɪt,ngồi,1,Kéo dài âm /iː/ đủ thời gian
iː,ɪ,heat,hiːt,nhiệt độ,hit,hɪt,đánh,1,Môi kéo dẹt cho /iː/ dài
iː,ɪ,feel,fiːl,cảm thấy,fill,fɪl,lấp đầy,2,Phân biệt độ dài rõ ràng
iː,ɪ,bead,biːd,hạt chuỗi,bid,bɪd,đấu giá,2,Nguyên âm dài vs ngắn
p,b,pin,pɪn,ghim,bin,bɪn,thùng rác,1,/p/ bật hơi mạnh vs /b/ rung cổ
p,b,cap,kæp,mũ lưỡi trai,cab,kæb,taxi,1,Đặt tay lên cổ để kiểm tra rung
p,b,rope,rəʊp,dây thừng,robe,rəʊb,áo choàng,2,Âm cuối: /p/ giữ hơi vs /b/ rung nhẹ
p,b,cup,kʌp,cốc,cub,kʌb,con thú non,2,Bật hơi mạnh cho /p/
t,d,two,tuː,số hai,do,duː,làm,1,/t/ bật hơi vs /d/ rung
t,d,try,traɪ,thử,dry,draɪ,khô,1,Lưỡi chạm vòm miệng
t,d,town,taʊn,thị trấn,down,daʊn,xuống,1,Phân biệt vô thanh và hữu thanh
t,d,cart,kɑːt,xe đẩy,card,kɑːd,thẻ,2,Âm cuối quan trọng
t,d,bat,bæt,con dơi,bad,bæd,xấu,2,Không bỏ sót âm cuối
k,g,back,bæk,lưng,bag,bæg,túi,1,/k/ bật hơi từ cuống lưỡi
k,g,coat,kəʊt,áo khoác,goat,gəʊt,con dê,1,Cuống lưỡi chạm vòm miệng
k,g,class,klɑːs,lớp học,glass,glɑːs,ly thủy tinh,2,Cluster đầu từ
k,g,lock,lɒk,khóa,log,lɒg,khúc gỗ,2,Âm cuối: giữ hơi vs rung nhẹ
s,z,bus,bʌs,xe buýt,buzz,bʌz,tiếng vo ve,1,/s/ xì hơi vs /z/ rung cổ
s,z,rice,raɪs,gạo,rise,raɪz,tăng lên,2,Âm cuối dễ nhầm
s,z,peace,piːs,hòa bình,peas,piːz,đậu Hà Lan,2,Phân biệt rõ ràng
s,z,place,pleɪs,địa điểm,plays,pleɪz,chơi (số nhiều),2,Xì hơi vs rung
f,v,fan,fæn,quạt,van,væn,xe tải,1,/f/ cắn môi không rung vs /v/ rung
f,v,fine,faɪn,tốt,vine,vaɪn,dây leo,2,Người Việt hay nhầm
f,v,half,hɑːf,một nửa,have,hæv,có,2,Cắn môi dưới
θ,ð,think,θɪŋk,nghĩ,this,ðɪs,cái này,3,Lưỡi đưa ra giữa răng - Âm khó nhất với người Việt
θ,ð,three,θriː,số ba,these,ðiːz,những cái này,3,/θ/ không rung vs /ð/ rung
θ,s,think,θɪŋk,nghĩ,sink,sɪŋk,bồn rửa,3,Lưỡi giữa răng vs lưỡi sau răng
θ,t,bath,bɑːθ,t목욕,bat,bæt,con dơi,3,Người Việt thường đọc /θ/ thành /t/
ð,d,this,ðɪs,cái này,dis,dɪs,chê bai,3,Lưỡi ra ngoài răng
ʃ,ʒ,pressure,ˈpreʃə,áp lực,pleasure,ˈpleʒə,niềm vui,3,Cong môi mạnh
ʃ,s,she,ʃiː,cô ấy,sea,siː,biển,2,/ʃ/ cong môi vs /s/ môi dẹt
ʃ,tʃ,shop,ʃɒp,cửa hàng,chop,tʃɒp,chặt,2,Ma sát vs tắc xát
tʃ,dʒ,chain,tʃeɪn,dây xích,Jane,dʒeɪn,tên Jane,2,Vô thanh vs hữu thanh
tʃ,dʒ,rich,rɪtʃ,giàu có,ridge,rɪdʒ,sườn núi,3,Bật hơi mạnh vs rung cổ
tʃ,ʃ,catch,kætʃ,bắt,cash,kæʃ,tiền mặt,2,Tắc xát vs ma sát
